Time, Price, Networth,
827, 0.5275, 995.99, 
1450, 0.5275, 1000.09, 
126985, 0.527211, 999.85, 
127092, 0.52662262, 999.1, 
127438, 0.52975119, 1003.09, 
160470, 0.5266, 999.07, 
163079, 0.5281319, 1001.03, 
168779, 0.5244664, 996.36, 
180460, 0.5201, 990.78, 
182868, 0.5155, 984.91, 
183089, 0.5155, 984.91, 
183210, 0.52080442, 991.69, 
186823, 0.51500515, 984.29, 
189633, 0.52172297, 992.87, 
191512, 0.52172297, 992.87, 
191608, 0.51066, 978.73, 
207989, 0.504, 970.21, 
209240, 0.498, 962.51, 
209361, 0.4956, 959.44, 
217498, 0.488, 949.63, 
220584, 0.4927851, 955.82, 
228697, 0.49365706, 956.95, 
229295, 0.49849525, 963.2, 
230873, 0.49358342, 956.86, 
232853, 0.49898093, 963.84, 
233502, 0.49399995, 957.4, 
236522, 0.488, 949.62, 
236868, 0.48160728, 941.3, 
239024, 0.47481657, 932.43, 
239794, 0.47343317, 930.61, 
242244, 0.4766256, 934.8, 
242590, 0.48303475, 943.2, 
249900, 0.49076952, 953.33, 
269860, 0.4808, 940.27, 
274147, 0.481, 940.53, 
275248, 0.48616434, 947.32, 
302590, 0.4808, 940.27, 
302886, 0.48807741, 949.92, 
309466, 0.48348954, 943.83, 
313330, 0.4801048, 939.31, 
316943, 0.484474, 945.19, 
330632, 0.48902778, 951.31, 
330802, 0.48902778, 951.32, 
330973, 0.495, 959.33, 
331948, 0.49020267, 952.9, 
343049, 0.48286605, 943.02, 
343902, 0.48286605, 943.02, 
349049, 0.4797233, 938.78, 
350125, 0.47925071, 938.17, 
350245, 0.47686003, 934.91, 
350366, 0.4739386, 930.92, 
351768, 0.46815657, 922.95, 
354779, 0.4611, 913.16, 
357136, 0.45530494, 905.08, 
361275, 0.4533136, 902.28, 
369436, 0.45578381, 905.75, 
371843, 0.45906095, 910.36, 
372592, 0.46700089, 921.51, 
374321, 0.46261767, 915.36, 
374416, 0.4561, 906.16, 
375592, 0.46, 911.69, 
380589, 0.4580771, 908.97, 
390108, 0.4521, 900.5, 
391108, 0.440004, 883.18, 
391354, 0.4459082, 891.86, 
391450, 0.44139888, 885.32, 
392173, 0.4477, 894.54, 
392595, 0.45329551, 902.72, 
393645, 0.46095031, 913.92, 
393866, 0.46617642, 921.57, 
396198, 0.4718818, 929.92, 
421678, 0.47302661, 931.58, 
427733, 0.4665008, 922.09, 
453640, 0.4721409, 930.29, 
458134, 0.47691066, 937.23, 
462954, 0.48201367, 944.61, 
465512, 0.47685699, 937.2, 
469200, 0.4732, 931.95, 
471758, 0.47859463, 939.7, 
471904, 0.48428997, 947.86, 
476246, 0.48039326, 942.31, 
492462, 0.47552104, 935.36, 
499720, 0.475963, 935.99, 
502551, 0.47758538, 938.31, 
506097, 0.477579, 938.3, 
506312, 0.477579, 938.3, 
509086, 0.4781236, 939.07, 
509607, 0.47812632, 939.08, 
510403, 0.47475983, 934.28, 
518234, 0.4737333, 932.81, 
519456, 0.4751, 934.76, 
520652, 0.470289, 927.9, 
520772, 0.470289, 927.9, 
520993, 0.47280672, 931.49, 
521088, 0.4701892, 927.76, 
523211, 0.4701, 927.63, 
523606, 0.47292005, 931.65, 
524152, 0.47626246, 936.42, 
531983, 0.47640512, 936.62, 
532728, 0.47754848, 938.25, 
542262, 0.476263, 936.42, 
543559, 0.47464721, 934.12, 
548737, 0.473956, 933.13, 
549458, 0.471464, 929.59, 
549553, 0.473682, 932.74, 
552627, 0.47482497, 934.37, 
552722, 0.47672902, 937.08, 
553118, 0.47298875, 931.76, 
553788, 0.47563806, 935.53, 
555185, 0.47268858, 931.34, 
557634, 0.47, 927.52, 
558655, 0.47, 927.52, 
559051, 0.46713464, 923.44, 
560423, 0.4689213, 925.98, 
560768, 0.47479141, 934.33, 
562290, 0.47121069, 929.24, 
570147, 0.4701047, 927.67, 
571043, 0.46767198, 924.21, 
574668, 0.46608639, 921.95, 
574788, 0.46925773, 926.46, 
581844, 0.46719344, 923.53, 
584743, 0.46878221, 925.78, 
585464, 0.467236, 923.59, 
585634, 0.46762436, 924.14, 
586104, 0.46554, 921.17, 
586650, 0.46298025, 917.53, 
589048, 0.4630566, 917.64, 
591447, 0.45952159, 912.61, 
591892, 0.45717823, 909.27, 
593490, 0.454527, 905.48, 
594661, 0.45649744, 908.3, 
595006, 0.45928075, 912.27, 
596103, 0.45961139, 912.75, 
596248, 0.4556, 907.01, 
596343, 0.4583033, 910.88, 
596438, 0.45370239, 904.3, 
597059, 0.45749543, 909.73, 
600750, 0.4556272, 907.05, 
619772, 0.45663, 908.49, 
621444, 0.46109011, 914.88, 
621539, 0.4587512, 911.53, 
623111, 0.46072173, 914.35, 
627512, 0.45796617, 910.4, 
627607, 0.45941803, 912.48, 
628729, 0.46109011, 914.88, 
630852, 0.4625, 916.9, 
631047, 0.46111837, 914.92, 
631142, 0.46481248, 920.22, 
631513, 0.46489144, 920.34, 
634712, 0.4621558, 916.41, 
645547, 0.4619208, 916.08, 
645642, 0.46035043, 913.82, 
645737, 0.455, 906.12, 
645908, 0.45736742, 909.53, 
646854, 0.4602734, 913.71, 
649602, 0.46326517, 918.02, 
653610, 0.46382189, 918.82, 
653671, 0.46382189, 918.82, 
653916, 0.46707146, 923.49, 
654037, 0.46707146, 923.49, 
655909, 0.46449832, 919.79, 
674855, 0.467, 923.39, 
675182, 0.467, 923.39, 
676363, 0.467, 923.39, 
679168, 0.467, 923.39, 
