Time, XRP(Price), Cash, Market Value, Shares,
827, 0.5275, 332.9959335263286, 662.9906775374999, 1256.854365, 
1450, 0.5275, 326.5957226543286, 673.4990920749999, 1276.77553, 
126985, 0.527211, 326.9510047703286, 672.8986351205459, 1276.336486, 
127092, 0.52662262, 326.9510047703286, 672.1476537264609, 1276.336466, 
127438, 0.52975119, 326.9510047703286, 676.140740513847, 1276.336426, 
160470, 0.5266, 326.9510047703286, 672.1187408676, 1276.336386, 
163079, 0.5281319, 327.8310437703286, 673.1978293651059, 1274.677461, 
168779, 0.5244664, 327.2117947443286, 669.144405671992, 1275.85753, 
180460, 0.5201, 326.5931188623286, 664.1909734348001, 1277.044748, 
182868, 0.5155, 325.8177522243286, 659.0900237939999, 1278.545148, 
183089, 0.5155, 326.4685942243286, 658.4449080205, 1277.293711, 
183210, 0.52080442, 327.1081442243286, 664.5803984514017, 1276.065204, 
186823, 0.51500515, 326.3464548863286, 657.9400480746874, 1277.540716, 
189633, 0.52172297, 326.9705738863286, 665.896940019186, 1276.342002, 
191512, 0.52172297, 326.2627370383286, 666.6114944075127, 1277.711607, 
191608, 0.51066, 325.5804271423286, 653.15079721854, 1279.032619, 
207989, 0.504, 324.2349806203286, 645.975128736, 1281.696684, 
209240, 0.498, 322.5028592923286, 640.010969322, 1285.162589, 
209361, 0.4956, 320.4499636963286, 638.9883742284001, 1289.322789, 
217498, 0.488, 318.3593137423286, 631.269151088, 1293.584326, 
220584, 0.4927851, 319.0063537423286, 636.8129835099561, 1292.273211, 
228697, 0.49365706, 319.0063537423286, 637.9397743127373, 1292.273171, 
229295, 0.49849525, 319.6458917423286, 643.552484490531, 1290.990204, 
230873, 0.49358342, 317.7779954063286, 639.0771088595017, 1294.770211, 
232853, 0.49898093, 318.4191804063286, 645.4247389431182, 1293.485783, 
233502, 0.49399995, 316.6237376883286, 640.7772339159982, 1297.120038, 
236522, 0.488, 314.6072346883286, 635.0124033999999, 1301.254925, 
236868, 0.48160728, 312.2805176883286, 629.0205475784077, 1306.086045, 
239024, 0.47481657, 309.6627335703286, 622.7638407647345, 1311.588264, 
239794, 0.47343317, 309.6627335703286, 620.9493706229902, 1311.588224, 
242244, 0.4766256, 310.3089105703286, 624.4952101733664, 1310.242694, 
242590, 0.48303475, 310.9691005703286, 632.2334932668782, 1308.877867, 
249900, 0.49076952, 311.6257175703286, 641.7005936514605, 1307.539624, 
269860, 0.4808, 308.2925285260061, 631.9750241016001, 1314.423927, 
274147, 0.481, 308.2925285260061, 632.237889647, 1314.423887, 
275248, 0.48616434, 308.9527725260061, 638.3658701280833, 1313.06601, 
302590, 0.4808, 302.2896799400061, 637.9763971072, 1326.905984, 
302886, 0.48807741, 302.9548549400061, 646.9632030511722, 1325.534003, 
309466, 0.48348954, 298.0219868960061, 645.8048328655773, 1335.716245, 
313330, 0.4801048, 292.8817278980061, 646.4235958905088, 1346.421856, 
316943, 0.484474, 293.5423038980061, 651.645791306316, 1345.058334, 
330632, 0.48902778, 294.1826358980061, 657.1305443786088, 1343.748906, 
330802, 0.48902778, 294.8394738980061, 656.4791637768988, 1342.416915, 
330973, 0.495, 295.487900898006, 663.8460602399999, 1341.103152, 
331948, 0.49020267, 293.953495212006, 658.9446149890672, 1344.228939, 
343049, 0.48286605, 291.394838112006, 651.6260690699935, 1349.496551, 
343902, 0.48286605, 291.394838112006, 651.6260497553516, 1349.496511, 
349049, 0.4797233, 287.911157658006, 650.8721318833391, 1356.765727, 
350125, 0.47925071, 284.266764420006, 653.8993093312824, 1364.420116, 
350245, 0.47686003, 281.229460938006, 653.6846045409467, 1370.810224, 
350366, 0.4739386, 278.153100498006, 652.765837678058, 1377.32153, 
351768, 0.46815657, 274.888158648006, 648.0605341969302, 1384.281618, 
354779, 0.4611, 270.680858844006, 642.4818976521001, 1393.367811, 
357136, 0.45530494, 265.360503372006, 639.7209089293281, 1405.038366, 
361275, 0.4533136, 265.360503372006, 636.9229816970336, 1405.038326, 
369436, 0.45578381, 265.360503372006, 640.3937031889496, 1405.038286, 
371843, 0.45906095, 265.489352372006, 644.8698582930946, 1404.758689, 
372592, 0.46700089, 265.619906372006, 655.892280779048, 1404.477582, 
374321, 0.46261767, 262.988310686006, 652.3710248140608, 1410.173167, 
374416, 0.4561, 259.644219854006, 646.5147160258, 1417.484578, 
375592, 0.46, 259.772196854006, 651.91562848, 1417.207888, 
380589, 0.4580771, 259.899849854006, 649.0652251203263, 1416.934453, 
390108, 0.4521, 255.896805746006, 644.5990224432, 1425.788592, 
391108, 0.440004, 250.9977181280061, 632.179219951572, 1436.757893, 
391354, 0.4459082, 243.7447274600061, 648.1124573170101, 1453.466111, 
391450, 0.44139888, 239.5490769080061, 645.7697730582508, 1463.007276, 
392173, 0.4477, 239.6818009080061, 654.8559492948, 1462.711524, 
392595, 0.45329551, 239.8139019080061, 662.9091141829214, 1462.421532, 
393645, 0.46095031, 239.9440539080061, 673.9737115632325, 1462.139621, 
393866, 0.46617642, 241.1905079080061, 680.3784046509539, 1459.486957, 
396198, 0.4718818, 243.7216909080061, 686.1940864107784, 1454.165188, 
421678, 0.47302661, 243.7216909080061, 687.8588103385883, 1454.165148, 
427733, 0.4665008, 243.5897235000061, 678.5011630224128, 1454.448016, 
453640, 0.4721409, 243.5897235000061, 686.7043763918183, 1454.447976, 
458134, 0.47691066, 247.3852775000061, 689.8475268951403, 1446.492152, 
462954, 0.48201367, 251.807723500006, 692.8063375264236, 1437.316783, 
